,Synonym,Label,Id,Definition,ExternallySourcedDefinition,Comment,Synonym,Species,PartiallyOverlapsWith,Is part of,Has role,RelatedTo,Category,SuperCategory
:Category:Barrington's nucleus,,Barrington's nucleus,nlx_144457,"collection of cell bodies located in the rostral pons in the brainstem involved in the supraspinal regulation of micturition (urination). The PMC makes connections with other brain centers to control micturition, including the medial frontal cortex, insular cortex, hypothalamus and periaqueductal gray (PAG). The PAG in particular acts a relay station for ascending bladder information from the spinal cord and incoming signals from higher brain areas (http://en.wikipedia.org/wiki/Pontine_micturition_center)",,,pontine micturition center,:Category:Mammal,,:Category:Pons,,,:Category:Regional part of brain,Regional part of brain
:Category:Basal amygdaloid nucleus,,Basal amygdaloid nucleus,birnlex_2692,,,,"basolateral nucleus (De Olmos),basolateral amygaloid nucleus,basolateral amygdalar nucleus",,,:Category:Basolateral nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Basal forebrain,,Basal forebrain,birnlex_1560,"A region of the brain consisting of ventral and rostral subcortical regions of the telencephalon, including among others, the basal ganglia, septal nuclei, amygdala, ventral pallidum, substantia innominata, and basal nucleus of Meynert.","The term basal forebrain refers to a ""heterogeneous set of structures on the medial and ventral cerebral hemisphere."" It comprises the substantia innominata, basal nucleus, anterior perforated substance, islands of Calleja and overlying parts of the striatum and globus pallidus. It extends caudally into pars reticulata of the substantia nigra and rostrally includes the nucleus accumbens, nucleus of diagonal band, nucleus of stria terminalis and septal nuclei (Mai-2004).","I think this should be moved to ""Composite brain structure spanning many parts"" rather than regional part of Telencephalon",,,,:Category:Telencephalon,,,:Category:Regional part of brain,Regional part of brain
:Category:Basal ganglia,,Basal ganglia,birnlex_826,"Subcortical masses of gray matter in the forebrain and midbrain that are richly interconnected and so viewed as a functional system.  The nuclei usually included are the caudate nucleus (caudoputamen in rodents), putamen, globus pallidus, substantia nigra (pars compacta and pars reticulata) and the subthalamic nucleus.  Some also include the nucleus accumbens and ventral pallidum.",,"This class should be a defined class through the part of relationship.  When someone searches NIF for Basal ganglia, it should automatically expand to all of its parts.",,,,,,,:Category:Aggregate regional part of brain,Aggregate regional part of brain
:Category:Basal ganglia of rodent,,Basal ganglia of rodent,nlx_65680,The basal ganglia of the rodent,,,rodent basal ganglia,:Category:Rodent,,,,,:Category:Basal ganglia,Basal ganglia
:Category:Basal nuclear complex,,Basal nuclear complex,birnlex_1629,"The deep nuclei of telencephalic origin found in the basal region of the forebrain, The deep nuclei found in the basal forebrain.

Large subcortical nuclear masses derived from the telencephalon and located in the basal regions of the cerebral hemispheres. (MeSH definition of Basal Ganglia in UMLS).",,,"basal nuclei of the forebrain,Basal ganglia,basal nuclei,Cerebral nuclei",,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Basal nucleus,,Basal nucleus,birnlex_1107,"One of four major groupings of cholinergic neurons in the basal forebrain containing neurons that project widely to the cortex and amygdala (Butler and Hodos, Comparative Vertebrate Neuroanatomy, 3rd ed, 2005, pg 488)",,,"Nucleus basalis,Magnocellular basal nucleus,Nucleus basalis of Meynert,Ch4,magnocellular corticopetal cell complex",:Category:Mammal,,":Category:Cholinergic system,:Category:Basal forebrain,:Category:Substantia innominata",,,:Category:Regional part of brain,Regional part of brain
:Category:Basal part of pons,,Basal part of pons,birnlex_1043,,,,Basis pontis,,,:Category:Pons,,,:Category:Regional part of brain,Regional part of brain
:Category:Basolateral nuclear complex,,Basolateral nuclear complex,birnlex_2679,"A set of amygdalar nuclei comprising the lateral nucleus (LA), the basal nucleus (BA), and the accessory basal nuclei (ABN). These nuclei are bordered laterally by the external capsule and medially by the central amygdalar nucleus as well as the amygdalohippocampal area. This definition refers to the rat Basolateral nuclear complex.",,"I recommend that we change the label of this class to ""Basolateral amygdaloid nuclear complex"" so that the relationship to the amygdala is clear.","basolateral nuclear group,vicarious cortex,pars basolateralis (Corpus amygdaloideum),amygdalar basolateral nucleus,amygdaloid basolateral complex,deep nuclei,basolateral nucleus of the amygdala",,,:Category:Amygdala,,,:Category:Regional part of brain,Regional part of brain
:Category:Bed nuclei of the stria terminalis oval nucleus,,Bed nuclei of the stria terminalis oval nucleus,nlx_77783,"Part of bed nucleus of stria terminalis, comprising a distinct, large, egg-shaped collection of neurons that, together with the juxtacapsular (Ju) and rhomboid (Rh) nuclei, encompass the anterolateral area of the BST (Ju and Swanson, 1989)",,,,:Category:Rat,,:Category:Bed nucleus of stria terminalis,,,:Category:Regional part of brain,Regional part of brain
:Category:Bed nucleus of stria terminalis,,Bed nucleus of stria terminalis,birnlex_724,"Nucleus defined on the basis of Nissl stain whose cells are embedded in, and surround the stria terminalis at its rostral extreme, where it splits into multiple bundles directed ventrally toward different parts of the hypothalamus. The nucleus wraps around the anterior commissure. It is bounded laterally by the internal capsule, medially by the lateral septal nucleus and the anterior column of the fornix, and dorsally by the head of the caudate nucleus and the frontal horn of the lateral ventricle. Some authors have expanded the definition on the basis of other stains and connectivity studies to include cell groups distributed through the dorsal part of substantia innominata between the classical nucleus and the amygdala. The extended nucleus of stria terminalis by that definition is classified as part of the extended amygdala ( Olmos-2004 ). The nucleus is found in the human, the macaque, the rat and the mouse.  Adapted from Brain Info.",,,"bed nucleus stria terminalis (Johnson),interstitial nucleus of stria terminalis,intercalate nucleus of stria terminalis,bed nucleus of the stria terminalis,nucleus of the stria terminalis,bed nuclei of the stria terminalis",":Category:Rodent,:Category:Carnivora,:Category:Primate",,":Category:Telencephalon,:Category:Basal forebrain",,,:Category:Regional part of brain,Regional part of brain
:Category:Body of caudate nucleus,,Body of caudate nucleus,birnlex_1217,Part of caudate nucleus lying just dorsal to the thalamus,,,,,,:Category:Caudate nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Body of fornix,,Body of fornix,birnlex_739,Part of fornix adjacent to the crura where they join together at the midline underneath the corpus callosum,,,,,,:Category:Fornix,,,:Category:Regional part of brain,Regional part of brain
:Category:Body of lateral ventricle,,Body of lateral ventricle,birnlex_1287,"Part of lateral ventricle consisting of the central portion that lies dorsally, bounded by the thalamus on the ventral side (Adapted from Heimer, 1996)",,,central part of lateral ventricle,,,:Category:Lateral ventricle,,,:Category:Regional part of brain,Regional part of brain
:Category:Brachium of inferior colliculus,,Brachium of inferior colliculus,birnlex_929,,,,,:Category:Mammal,,":Category:White matter,:Category:Midbrain tectum",,,:Category:Regional part of brain,Regional part of brain
:Category:Brachium of superior colliculus,,Brachium of superior colliculus,birnlex_1065,Bundle of fibers that passes over the medial geniculate nucleus (in humans) to reach the superior colliculus.  Contains afferents from the retina.,,,"superior quadrigeminal brachium,superior brachium",:Category:Mammal,,":Category:White matter,:Category:Midbrain tectum",,,:Category:Regional part of brain,Regional part of brain
:Category:Brainstem,,Brainstem,birnlex_1565,"The lower portion of the brain through which the forebrain sends information to, and receives information from, the spinal cord and peripheral nerves. Major functions located in the brainstem include those necessary for survival, e.g., breathing, heart rate, blood pressure, and arousal. (NIDA Media Guide Glossary).  Note that the definition of brainstem varies in different nomenclatures, for example, some definitions include the diencephalon.","The part of the brain that connects the cerebral hemispheres with the spinal cord. It consists of the Mesencephalon, Pons, and Medulla Oblongata (MeSH).,The term brain stem refers to a composite substructure of the brain. It includes the midbrain, the pons and the medulla oblongata. Some authors include the cerebellum and/or parts of the diencephalon. A discussion of differences in the use of this term is presented in Anthoney-94 (NeuroNames).",,brain stem,,,,,,":Category:Regional part of brain,:Category:Composite part spanning multiple base regional parts of brain",Regional part of brain
:Category:Broca's area,,Broca's area,FMAID: 242176,"Part of left frontal lobe of human located in the posterior part of the inferior frontal gyrus named for the French physician Pierre-Paul Broca (Heimer, L. The Human Brain and Spinal Cord, 2nd ed, 1995, pg 446). According to FMA, it comprises Brodmann's area 44 and part of area 45. Broca's area is generally considered to be involved in speech and language processing and production (e.g., speech articulation, lexical semantics, and syntax/syntactic decoding); but has also been shown to be related to non-verbal frequency discrimination, working memory, complex hand movements, associative sensorimotor learning and sensorimotor integration, imitation, musical processing, and hallucinations in those with Schizophrenia (http://www.springerreference.com/docs/html/chapterdbid/179813.html).",,,Convolution of Broca,:Category:Human,,:Category:Left frontal lobe,,":Category:Speech,:Category:Language,:Category:Wernicke's area",:Category:Regional part of brain,Regional part of brain
:Category:CA1,,CA1,birnlex_1197,"Part of hippocampus proper bounded by CA2 and the subiculum, characterized by pyramidal neurons that receive projections from pyramidal neurons of CA3 via the Schaffer collaterals.",,,"CA1 field of hippocampus,CA1 field,cornu ammonis 1,Regio superior,field CA1 of hippocampus",,,:Category:Hippocampus,,,:Category:Regional part of brain,Regional part of brain
:Category:CA1 alveus,,CA1 alveus,nlx_anat_1005038,"Part of alveus lying in area CA1, deep to the stratum oriens of CA1 and continuous with the alveus of CA2",,,,,,":Category:Alveus,:Category:CA1",,,:Category:Regional part of brain,Regional part of brain
:Category:CA1 stratum lacunosum moleculare,,CA1 stratum lacunosum moleculare,birnlex_4123,"Part of stratum lacunosum-moleculare lying in area CA1, superficial to CA1 stratum radiatum and bounded by the pial surface, continuous with stratum lacunosum-moleculare of CA2 and the subiculum stratum moleculare",,,CA1 s. lacunosum moleculare,,,":Category:CA1,:Category:Stratum lacunosum moleculare",,,:Category:Cytoarchitectural fields of hippocampal formation,Cytoarchitectural fields of hippocampal formation
:Category:CA1 stratum oriens,,CA1 stratum oriens,birnlex_4116,"Part of stratum oriens lying in area CA1, superficial to the alveus of CA1 and deep to the pyramidal cell layer of CA1.  It is continuous with the stratum oriens of CA2 and bounded by the subiculum",,,"CA1 s. oriens,Field CA1 stratum oriens",:Category:Mammal,,":Category:CA1,:Category:Stratum oriens",,,:Category:Regional part of brain,Regional part of brain
:Category:CA1 stratum pyramidale,,CA1 stratum pyramidale,birnlex_4110,"Part of pyramidal cell layer lying in area CA1, superficial to the CA1 stratum oriens, and deep to the stratum radiatum of CA1, continuous with the pyramidal cell layers of CA2 and the subiculum.  It is characterized by pyramidal cell bodies that are generally smaller in size than those in the other hippocampal sectors.",,,"CA1 pyramidal cell layer,CA1 s. pyramidale,CA1 stratum pyramidale hippocampi",,,":Category:CA1,:Category:Stratum pyramidale",,,:Category:Cytoarchitectural fields of hippocampal formation,Cytoarchitectural fields of hippocampal formation
