,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link
:Category:CA3 stratum oriens,CA3 stratum oriens,CA3 s. oriens,birnlex_4117,,,Cytoarchitectural fields of hippocampal formation,,Part of stratum oriens lying in area CA3 deep to the CA3 pyramidal cell layer and continuous with stratum oriens of area CA2 and bounded by the dentate gyrus hilus.,,,,,
:Category:CA3 stratum pyramidale,CA3 stratum pyramidale,"CA3 pyramidal cell layer,CA3 Stratum pyramidale,CA3 stratum pyramidale,CA3 s. pyramidale,CA3 stratum pyramidale hippocampi",birnlex_4112,,,Cytoarchitectural fields of hippocampal formation,,,,,,,
:Category:CA3 stratum radiatum,CA3 stratum radiatum,CA3 s. radiatum,birnlex_4121,,,Regional part of brain,,"Part of stratum radiatum in area CA3,  lying superficial to the stratum lucidum and deep to CA3  stratum lacunosum-moleculare.",,,,,
:Category:Capsule of medial geniculate body,Capsule of medial geniculate body,capsula corporis geniculati medialis,birnlex_1214,,,Regional part of brain,,,,,,,
:Category:Capsule of red nucleus,Capsule of red nucleus,,birnlex_732,,,Regional part of brain,,,,,,cr,
:Category:Caudal anterior cingulate cortex,Caudal anterior cingulate cortex,,birnlex_967,,,Regional part of brain,,Component of the cingulate cortex.  The rostral boundary was the first appearance of the genu of the corpus callosum whereas the caudal boundary was established as the first appearance of the mammillary bodies. The medial boundary was the medial aspect of the cortex. The supero-lateral boundary was the superior frontal gyrus whereas the infero-lateral boundary was the corpus callosum (Christine Fennema-Notestine).,,,,,
:Category:Caudal central oculomotor nucleus,Caudal central oculomotor nucleus,,birnlex_780,,,Regional part of brain,,,,,,CC3,
:Category:Caudal middle frontal gyrus,Caudal middle frontal gyrus,,birnlex_1083,,,Regional part of brain,,Component of the middl frontal gyrus.  The rostral boundary of the middle frontal gyrus was the rostral extent of the middle frontal gyrus whereas the caudal boundary was the precentral gyrus. The medial and lateral boundaries were designated as the superior frontal sulcus and the inferior frontal sulcus respectively (Christine Fennema-Notestine).,,,,,
:Category:Caudal part of spinal trigeminal nucleus,Caudal part of spinal trigeminal nucleus,trigeminal caudal nucleus,birnlex_2637,,,Regional part of brain,,,,,,"CSp5, Sp5C",
:Category:Caudal part of ventral lateral nucleus,Caudal part of ventral lateral nucleus,"pars caudalis,ventral lateral nucleus,dorsal part of ventral lateral posterior nucleus (Jones),caudal part,ventral lateral thalamic nucleus,nucleus ventralis lateralis,nucleus lateralis intermedius mediodorsalis situs dorsalis,nucleus dorsooralis (Van Buren)",birnlex_1144,,,Regional part of brain,,,,,,VLC,
:Category:Caudal part of ventral posterolateral nucleus,Caudal part of ventral posterolateral nucleus,,birnlex_1681,,,Regional part of brain,,,,,,VPLC,
:Category:Caudal pontine reticular nucleus,Caudal pontine reticular nucleus,,birnlex_792,,,Regional part of brain,,,,,,PnC,
:Category:Caudate nucleus,Caudate nucleus,Caudate,birnlex_1373,,,Regional part of brain,":Category:Primate,:Category:Carnivora","Subcortical nucleus of telecephalic origin consisting of an elongated gray mass lying lateral to and bordering the lateral ventricle.  It is divided into a head, body and tail in some species.",,,,Cd,
:Category:Caudomedial Mesopallium,Caudomedial Mesopallium,,nlx_144123,,,Regional part of brain,,,,,,,
:Category:Caudomedial Nidopallium,Caudomedial Nidopallium,"Nidopallium caudomediale,Caudomedial neostriatum",nlx_144027,,,Regional part of brain,:Category:Aves,Secondary avian auditory forebrain region,connectivity,,,NCM,
:Category:Caudomedial lobule,Caudomedial lobule,,nlx_149279,6472617,"Goldman-Rakic PS, Selemon LD, Schwartz ML. Dual pathways connecting the dorsolateral prefrontal cortex with the hippocampal formation and parahippocampal cortex in the rhesus monkey. Neuroscience. 1984 Jul;12(3):719-43.",Regional part of brain,:Category:Macaque,"Region of cortex in the region of the isthmus between the cingulate and parahippocampal cortex in primate brain comprising a rostrally oriented bulge that is made up, in part, of portions of the retrosplenial cortex.",topography,,,,
:Category:Caudoputamen,Caudoputamen,"Caudate-putamen,Caudate putamen",nlx_anat_100312,,,Regional part of brain,:Category:Rodent,"Regional part of telencephalon in some species, e.g., rodent, equivalent to the dorsal striatum (caudate nucleus and putamen).  Unlike the dorsal striatum of primates, for example, the caudoputamen is not split into separate nuclei by the fibers of the internal capsule.  Rather, the internal capsule splits into fiber bundles which course through the structure.",,,,,
:Category:Cell group,Cell group,,nlx_532,,,Regional part of brain,,"A group of cells that may not be contained within macroscopic anatomical boundaries, e.g., A9 dopaminergic cell group;  massa intercalata of the amygdala",,:Category:CUMBO term,,,
:Category:Central amygdaloid nucleus,Central amygdaloid nucleus,"central nucleus of amygdala,central nucleus of the amygdala",birnlex_2682,"110,546,942,468,696,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",,Regional part of brain,,"The output region of the amygdala responsible for controlling responses (Phelps & LeDoux, 2005, PMID: 16242399).",,,,"CeA, Ce",
:Category:Central cervical spinocerebellar tract,Central cervical spinocerebellar tract,,nlx_41715,,,Regional part of brain,,Afferents from the neck and head to the cerebellum.,,,,,
:Category:Central dorsal nucleus,Central dorsal nucleus,"nucleus centralis superior lateralis thalami,nucleus circularis,nucleus centralis superior lateralis,nucleus centralis dorsalis thalami",birnlex_956,,,Regional part of brain,,,,,,CD,
:Category:Central gray substance of medulla,Central gray substance of medulla,central gray matter,birnlex_2638,,,Regional part of brain,,,,,,CGM,
:Category:Central gray substance of pons,Central gray substance of pons,"Central gray of pons,pontine central gray,pontine gray",birnlex_799,,,Regional part of brain,,,,,,CGPn,
:Category:Central lateral nucleus,Central lateral nucleus,"central lateral nucleus of thalamus,central lateral thalamic nucleus,nucleus centralis lateralis of thalamus,nucleus centralis lateralis thalami,centrolateral thalamic nucleus",birnlex_961,,,Regional part of brain,,,,,,CL,
:Category:Central lobule,Central lobule,,birnlex_920,,,Lobular parts of the cerebellar cortex,,,,,,,
:Category:Central medial nucleus,Central medial nucleus,"nucleus centralis medialis thalami,central medial thalamic nucleus,central medial nucleus thalamus (Rioch 1928),central medial nucleus of thalamus,nucleus centralis medialis",birnlex_971,,,Regional part of brain,,,,,,CM,
:Category:Central nucleus of inferior colliculus,Central nucleus of inferior colliculus,,birnlex_1035,,,Regional part of brain,,,,,,CIC,
:Category:Central oculomotor nucleus,Central oculomotor nucleus,,birnlex_786,,,Regional part of brain,,,,,,C3,
:Category:Central tegmental tract of midbrain,Central tegmental tract of midbrain,,birnlex_1081,,,Regional part of brain,,,,,,ctgmb,
:Category:Central tegmental tract of pons,Central tegmental tract of pons,,birnlex_1683,,,Regional part of brain,,,,,,,
:Category:Centromedian nucleus,Centromedian nucleus,"nucleus centralis thalami (Hassler),centrum medianum,central magnocellular nucleus of thalamus,nucleus centri mediani thalami,nucleus centrum medianum,centromedian thalamic nucleus,nucleus centromedianus,nucleus centromedianus thalami,centre median nucleus,central nucleus-1,nucleus centralis centralis,centrum medianum thalami,centromedian nucleus",birnlex_805,,,Regional part of brain,,,,,,CMn,
:Category:Cerebellar Paravermis,Cerebellar Paravermis,Intermediate zone,nlx_anat_20081236,,,Regional part of brain,,"A region on either side of the midline of the cerebellum that lies lateral to the vermis and medial to the hemisphere. It contains the cerebellar cortical zones C1, C2 and C3 and receives climbing fibre input from the inferior olive and projects to the nucleus interpositus. Here, the term is used to denote the functionally related C1, C3 and Y (but not the C2) zones (Nature glossary: http://www.nature.com/nrn/journal/v6/n4/glossary/nrn1646.html#df1).",,,,,
:Category:Cerebellar cortex,Cerebellar cortex,,birnlex_1566,,,Regional part of brain,,"The superficial gray matter of the cerebellum. It consists of three main layers, the molecular layer, the Purkinje cell layer and the granule cell layer, and the white matter laminae lying deep to the granule cell layer.",,,,,
:Category:Cerebellar hemisphere,Cerebellar hemisphere,Intermediate zone,birnlex_1575,,,Cerebellar cortex,,,,,,,
:Category:Cerebellar penducular complex,Cerebellar penducular complex,"cerebellar peduncles and decussations,cerebellar peduncles",birnlex_970,,,Regional part of cerebellar white matter,,,,,,,
:Category:Cerebellar white matter,Cerebellar white matter,,birnlex_1562,,,Composite part spanning multiple base regional parts of brain,,"Regional part of cerebellum consisting of the myelinated axons lying deep to the granule cell layer, excluding the deep cerebellar nuclei and the cerebellar peduncles.",,,,,
:Category:Cerebellum,Cerebellum,"Parencephalon,Hindbrain",birnlex_1489,,,Regional part of brain,:Category:Vertebrata,"Part of the rhombencephalon that lies in the posterior cranial fossa behind the brain stem, consisting of the cerebellar cortex, deep cerebellar nuclei and cerebellar white matter.A portion of the brain that helps regulate posture, balance, and coordination. (NIDA Media Guide Glossary)The dorsal topographic division of the hindbrain, connected to the ventral  division-the pons-by a white matter tract, the middle cerebellar peduncle. The cerebellum was discovered and named by Aristotle (De Partibus Animalium) based on macrodissection of a variety of animals not including humans; see translation by Thompson (1910, 494b 30). Older synonyms include parencephalon (Aristotle), hindbrain (Galen, c192).","cyto-architecture, topography",,,,
:Category:Cerebral aqueduct,Cerebral aqueduct,aqueduct of Sylvius,birnlex_1261,,,Regional part of brain,,Part of ventricular system of brain consisting of a narrow channel in the midbrain connecting the third and fourth ventricles.  (Maryann Martone),,,,,
:Category:Cerebral cortex,Cerebral cortex,"Cortex,Pallium",birnlex_1494,,,Regional part of brain,,"The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon.  It consists of the neocortex (6 layered cortex or isocortex), the hippocampal formation and the olfactory cortex.The '''cerebral cortex''' is a sheet of neural tissue that is outermost to the cerebrum of the mammalian brain. It plays a key role in memory, attention, perceptual awareness, thought, language, and consciousness. It is constituted of up to six horizontal layers, each of which has a different composition in terms of neurons and connectivity.One of the 10 basic divisions of the cerebrospinal axi. The cerebral cortex is the dorsal topographic division of the endbrain (Kuhlenbeck, 1927), with a basically radial, laminated architecture. The cerebral cortex was described and illustrated for macrodissected adult humans by Vesalius (1543), and the term itself was introduced for macrodissected adult humans by Bauhin (1605).","cyto-architecture, connectivity, topography",,,Cx,
:Category:Cerebral crus,Cerebral crus,,birnlex_1218,,,Regional part of brain,,,,,,ccr,
:Category:Cerebral nuclei,Cerebral nuclei,"Basal ganglia (Warwick & Williams,1973),Cerebral ganglia (Reil,1809),Corpus striatum (Willis,1664)",nlx_158496,,,Regional part of brain,:Category:Vertebrata,"The ventral topographic division of the endbrain, with a basically nonlaminated architecture (Swanson, 2000).The general outlines of the cerebral nuclei were described for macrodissected adult humans by Bartholin (1651), and a basic distinction during embryogenesis between cerebral cortex and cerebral nuclei was stressed by Baer (1837) and Reichert (1859-1861). The most common synonym today for cerebral nuclei, which was clearly defined by Swanson (2000), is basal ganglia (Warwick & Williams, 1973).","cyto-architecture, connectivity, topography",,,CNU,
:Category:Cerebral peduncle,Cerebral peduncle,,birnlex_1202,,,Regional part of brain,,"Synonym for macrodissected adult human tegmentum (Vicq d'Azyr, 1784; Swanson, 2000); pp. 555-556. Later used thus by for example His (1893b, p. 178), Herrick (1915, p. 160), Strong & Elwyn (1943, p. 17), Carpenter (1976, p. 367), Williams & Warwick (1980, p. 935).",topography,,,CP,
:Category:Cerebral white matter,Cerebral white matter,,birnlex_711,,,Regional part of brain,,"White matter is one of the two main solid components of the central nervous system. It is composed of myelinated nerve cell processes, or axons, which connect various grey matter areas (the locations of nerve cell bodies) of the brain to each other and carry nerve impulses between neurons. Cerebral and spinal white matter do not contain dendrites, which can only be found in grey matter along with neural cell bodies and shorter axons (Christine Fennema-Notestine).",,,,,
